time,open,high,low,close,volume
2021-02-16 16:22:00,49.6,49.6,49.6,49.6,316
2021-02-16 16:19:00,49.5,49.5001,49.5,49.5,562
2021-02-16 16:15:00,49.6,49.6,49.6,49.6,193
2021-02-16 16:13:00,49.49,49.5,49.49,49.5,576
2021-02-16 16:11:00,49.45,49.49,49.45,49.49,874
2021-02-16 16:10:00,49.45,49.45,49.45,49.45,507
2021-02-16 16:09:00,49.5,49.5,49.42,49.44,2649
2021-02-16 16:08:00,49.65,49.65,49.65,49.65,456
2021-02-16 16:07:00,49.55,49.58,49.5,49.5,1524
2021-02-16 16:05:00,49.7,49.7,49.66,49.7,1647
2021-02-16 16:04:00,49.56,49.56,49.56,49.56,1072
2021-02-16 16:03:00,49.55,49.59,49.54,49.59,6782
2021-02-16 16:02:00,49.51,49.51,49.51,49.51,1484
2021-02-16 16:01:00,49.51,49.59,49.51,49.59,1491
2021-02-16 16:00:00,49.455,49.5,49.4,49.5,29818
2021-02-16 15:59:00,49.43,49.48,49.39,49.4799,24224
2021-02-16 15:58:00,49.51,49.54,49.44,49.44,33667
2021-02-16 15:57:00,49.57,49.57,49.5,49.52,41599
2021-02-16 15:56:00,49.6532,49.75,49.54,49.571,25775
2021-02-16 15:55:00,49.7,49.71,49.57,49.71,17148
2021-02-16 15:54:00,49.55,49.7,49.54,49.69,15456
2021-02-16 15:53:00,49.64,49.8,49.5,49.5437,29199
2021-02-16 15:52:00,49.75,49.75,49.5501,49.61,17379
2021-02-16 15:51:00,49.7406,49.84,49.6801,49.745,31975
2021-02-16 15:50:00,49.62,49.72,49.6,49.71,10386
2021-02-16 15:49:00,49.6,49.65,49.53,49.634,15010
2021-02-16 15:48:00,49.66,49.66,49.55,49.5705,14634
2021-02-16 15:47:00,49.72,49.8,49.66,49.66,25271
2021-02-16 15:46:00,49.81,49.84,49.6966,49.72,17865
2021-02-16 15:45:00,49.68,49.83,49.6501,49.79,12789
2021-02-16 15:44:00,49.6276,49.74,49.57,49.7,5877
2021-02-16 15:43:00,49.7686,49.8407,49.57,49.57,14565
2021-02-16 15:42:00,49.57,49.8,49.54,49.7695,17444
2021-02-16 15:41:00,49.44,49.57,49.44,49.5415,8862
2021-02-16 15:40:00,49.6921,49.6921,49.44,49.44,28935
2021-02-16 15:39:00,49.6325,49.7,49.59,49.6999,10582
2021-02-16 15:38:00,49.5501,49.64,49.545,49.605,14577
2021-02-16 15:37:00,49.64,49.64,49.58,49.5999,6100
2021-02-16 15:36:00,49.65,49.6818,49.62,49.6693,8713
2021-02-16 15:35:00,49.545,49.7314,49.54,49.62,15006
2021-02-16 15:34:00,49.43,49.58,49.34,49.58,8866
2021-02-16 15:33:00,49.387,49.48,49.37,49.37,6516
2021-02-16 15:32:00,49.47,49.4898,49.356,49.405,10631
2021-02-16 15:31:00,49.5,49.518,49.43,49.48,8649
2021-02-16 15:30:00,49.52,49.5643,49.5,49.535,7389
2021-02-16 15:29:00,49.56,49.66,49.5009,49.5009,22945
2021-02-16 15:28:00,49.5,49.56,49.5,49.56,7960
2021-02-16 15:27:00,49.458,49.51,49.41,49.4601,9613
2021-02-16 15:26:00,49.3801,49.43,49.3801,49.425,5461
2021-02-16 15:25:00,49.35,49.48,49.3201,49.3787,3916
2021-02-16 15:24:00,49.33,49.3603,49.3,49.344,7096
2021-02-16 15:23:00,49.445,49.4893,49.33,49.33,13856
2021-02-16 15:22:00,49.6029,49.6029,49.41,49.47,8973
2021-02-16 15:21:00,49.57,49.62,49.5,49.5609,15557
2021-02-16 15:20:00,49.52,49.56,49.5,49.5582,9791
2021-02-16 15:19:00,49.4,49.57,49.4,49.57,10827
2021-02-16 15:18:00,49.387,49.4409,49.38,49.41,5062
2021-02-16 15:17:00,49.4199,49.4899,49.3589,49.41,6665
2021-02-16 15:16:00,49.34,49.4096,49.34,49.3606,3557
2021-02-16 15:15:00,49.365,49.4,49.32,49.375,6014
2021-02-16 15:14:00,49.36,49.45,49.33,49.36,4551
2021-02-16 15:13:00,49.4149,49.44,49.35,49.39,5362
2021-02-16 15:12:00,49.3599,49.4499,49.33,49.3786,7674
2021-02-16 15:11:00,49.3,49.35,49.3,49.35,6673
2021-02-16 15:10:00,49.19,49.3798,49.18,49.35,6701
2021-02-16 15:09:00,49.265,49.34,49.18,49.22,11718
2021-02-16 15:08:00,49.27,49.27,49.2,49.27,7566
